Name,Club,Position,Nationality,Age,Goals,Shots on target,Clean sheets,Tackles,Blocked shots,Interceptions,Clearances,Duels won,Aerial battles won,Assists,Passes,Big chances created,Through balls,Accurate long balls,Saves
Romaine Sawyers,West-Bromwich-Albion,Midfielder,Saint Kitts And Nevis,28.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,2.0,0.0,63.0,0.0,0.0,3.0,0.0
Sam Field,West-Bromwich-Albion,Midfielder,England,22.0,1.0,1.0,0.0,21.0,4.0,15.0,9.0,47.0,12.0,0.0,275.0,0.0,0.0,17.0,0.0
Kyle Edwards,West-Bromwich-Albion,Midfielder,England,22.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Grady Diangana,West-Bromwich-Albion,Midfielder,England,22.0,1.0,5.0,0.0,23.0,3.0,4.0,5.0,72.0,9.0,1.0,298.0,3.0,0.0,4.0,0.0
Conor Gallagher,West-Bromwich-Albion,Midfielder,England,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hal Robson-Kanu,West-Bromwich-Albion,Forward,Wales,31.0,12.0,28.0,0.0,21.0,17.0,29.0,34.0,0.0,0.0,3.0,682.0,2.0,0.0,0.0,0.0
Kenneth Zohore,West-Bromwich-Albion,Forward,Denmark,26.0,1.0,8.0,0.0,3.0,4.0,2.0,5.0,0.0,0.0,1.0,136.0,1.0,0.0,0.0,0.0
Matheus Pereira,West-Bromwich-Albion,Forward,Brazil,24.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0,0.0
Charlie Austin,West-Bromwich-Albion,Forward,England,31.0,34.0,106.0,0.0,62.0,78.0,17.0,84.0,0.0,0.0,8.0,1500.0,7.0,0.0,0.0,0.0
Callum Robinson,West-Bromwich-Albion,Forward,Ireland,25.0,1.0,5.0,0.0,7.0,3.0,7.0,3.0,0.0,0.0,1.0,190.0,2.0,0.0,0.0,0.0
Jamie Soule,West-Bromwich-Albion,Forward,England,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukasz Fabianski,West-Ham-United,Goalkeeper,Poland,35.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6328.0,0.0,0.0,1895.0,807.0
David Martin,West-Ham-United,Goalkeeper,England,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,40.0,15.0
Darren Randolph,West-Ham-United,Goalkeeper,Ireland,33.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,0.0,0.0,309.0,85.0
Nathan Trott,West-Ham-United,Goalkeeper,England,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,West-Ham-United,Defender,England,30.0,8.0,0.0,40.0,212.0,28.0,230.0,515.0,645.0,260.0,18.0,6957.0,27.0,6.0,506.0,0.0
Fabián Balbuena,West-Ham-United,Defender,Paraguay,29.0,2.0,0.0,8.0,57.0,5.0,79.0,243.0,188.0,124.0,0.0,1335.0,1.0,2.0,86.0,0.0
Gonçalo Cardoso,West-Ham-United,Defender,Portugal,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelo Ogbonna,West-Ham-United,Defender,Italy,32.0,4.0,0.0,28.0,171.0,10.0,208.0,689.0,626.0,373.0,1.0,4633.0,2.0,3.0,342.0,0.0
Issa Diop,West-Ham-United,Defender,France,23.0,4.0,0.0,11.0,97.0,2.0,114.0,326.0,291.0,157.0,1.0,2212.0,3.0,0.0,107.0,0.0
Ryan Fredericks,West-Ham-United,Defender,England,27.0,1.0,0.0,9.0,122.0,4.0,41.0,109.0,234.0,59.0,4.0,1358.0,5.0,0.0,47.0,0.0
Arthur Masuaku,West-Ham-United,Defender,The Democratic Republic Of Congo,26.0,0.0,0.0,12.0,196.0,5.0,102.0,140.0,506.0,74.0,6.0,2578.0,7.0,4.0,128.0,0.0
Ben Johnson,West-Ham-United,Defender,England,20.0,0.0,0.0,0.0,9.0,0.0,4.0,13.0,18.0,7.0,0.0,135.0,0.0,0.0,6.0,0.0
Ajibola Alese,West-Ham-United,Defender,England,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Ashby,West-Ham-United,Defender,Scotland,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Anderson,West-Ham-United,Midfielder,Brazil,27.0,10.0,33.0,0.0,136.0,25.0,63.0,22.0,366.0,16.0,8.0,2567.0,14.0,27.0,127.0,0.0
Manuel Lanzini,West-Ham-United,Midfielder,Argentina,27.0,20.0,61.0,0.0,123.0,56.0,118.0,30.0,533.0,20.0,13.0,5096.0,18.0,24.0,136.0,0.0
Robert Snodgrass,West-Ham-United,Midfielder,Scotland,33.0,26.0,88.0,0.0,265.0,78.0,106.0,105.0,864.0,158.0,23.0,4715.0,35.0,36.0,135.0,0.0
Mark Noble,West-Ham-United,Midfielder,England,33.0,46.0,114.0,0.0,860.0,91.0,566.0,264.0,1607.0,99.0,35.0,17862.0,35.0,105.0,1484.0,0.0
Pablo Fornals,West-Ham-United,Midfielder,Spain,24.0,2.0,11.0,0.0,47.0,10.0,26.0,8.0,92.0,10.0,5.0,893.0,4.0,6.0,41.0,0.0
Jack Wilshere,West-Ham-United,Midfielder,England,28.0,8.0,50.0,0.0,217.0,43.0,153.0,53.0,926.0,59.0,18.0,7494.0,32.0,156.0,364.0,0.0
Declan Rice,West-Ham-United,Midfielder,England,21.0,3.0,14.0,0.0,254.0,15.0,160.0,180.0,489.0,141.0,3.0,3942.0,2.0,4.0,275.0,0.0
Josh Cullen,West-Ham-United,Midfielder,Ireland,24.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Conor Coventry,West-Ham-United,Midfielder,Ireland,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio,West-Ham-United,Forward,England,30.0,37.0,117.0,0.0,120.0,72.0,126.0,123.0,926.0,316.0,14.0,2689.0,21.0,17.0,117.0,0.0
Andriy Yarmolenko,West-Ham-United,Forward,Ukraine,30.0,7.0,17.0,0.0,18.0,8.0,8.0,7.0,0.0,0.0,1.0,626.0,7.0,0.0,0.0,0.0
Jarrod Bowen,West-Ham-United,Forward,England,23.0,1.0,7.0,0.0,24.0,14.0,19.0,4.0,0.0,0.0,4.0,328.0,4.0,0.0,0.0,0.0
Sébastien Haller,West-Ham-United,Forward,France,26.0,7.0,28.0,0.0,22.0,10.0,8.0,26.0,0.0,0.0,1.0,779.0,2.0,0.0,0.0,0.0
Xande Silva,West-Ham-United,Forward,Portugal,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Emmanuel Longelo,West-Ham-United,Forward,England,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rui Patrício,Wolverhampton-Wanderers,Goalkeeper,Portugal,32.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.0,0.0,0.0,550.0,195.0
John Ruddy,Wolverhampton-Wanderers,Goalkeeper,England,33.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0,736.0,389.0
Willy Boly,Wolverhampton-Wanderers,Defender,France,29.0,4.0,0.0,20.0,147.0,6.0,116.0,285.0,425.0,234.0,1.0,2779.0,5.0,2.0,129.0,0.0
Conor Coady,Wolverhampton-Wanderers,Defender,England,27.0,0.0,0.0,23.0,71.0,0.0,62.0,251.0,160.0,68.0,0.0,3617.0,2.0,7.0,545.0,0.0
Jonny,Wolverhampton-Wanderers,Defender,Spain,26.0,3.0,0.0,14.0,170.0,18.0,113.0,82.0,367.0,74.0,3.0,2162.0,3.0,2.0,53.0,0.0
Rúben Vinagre,Wolverhampton-Wanderers,Defender,Portugal,21.0,0.0,0.0,2.0,40.0,2.0,26.0,31.0,107.0,16.0,0.0,556.0,3.0,1.0,14.0,0.0
Maximilian Kilman,Wolverhampton-Wanderers,Defender,England,23.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,17.0,12.0,0.0,101.0,0.0,0.0,2.0,0.0
Oskar Buur,Wolverhampton-Wanderers,Defender,Denmark,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
Marçal,Wolverhampton-Wanderers,Defender,Brazil,31.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,11.0,6.0,0.0,37.0,0.0,0.0,2.0,0.0
Ki-Jana Hoever,Wolverhampton-Wanderers,Defender,Netherlands,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúben Neves,Wolverhampton-Wanderers,Midfielder,Portugal,23.0,6.0,26.0,0.0,139.0,55.0,131.0,77.0,263.0,60.0,5.0,4024.0,7.0,19.0,440.0,0.0
Daniel Podence,Wolverhampton-Wanderers,Midfielder,Portugal,24.0,1.0,3.0,0.0,7.0,4.0,2.0,1.0,28.0,0.0,2.0,143.0,4.0,2.0,6.0,0.0
Romain Saïss,Wolverhampton-Wanderers,Midfielder,Morocco,30.0,5.0,15.0,0.0,97.0,6.0,87.0,187.0,326.0,186.0,1.0,2453.0,4.0,1.0,208.0,0.0
João Moutinho,Wolverhampton-Wanderers,Midfielder,Portugal,34.0,2.0,9.0,0.0,210.0,10.0,91.0,59.0,340.0,43.0,14.0,3778.0,16.0,10.0,281.0,0.0
Leander Dendoncker,Wolverhampton-Wanderers,Midfielder,Belgium,25.0,6.0,15.0,0.0,124.0,6.0,61.0,92.0,328.0,158.0,0.0,1966.0,2.0,0.0,81.0,0.0
Vitinha,Wolverhampton-Wanderers,Midfielder,Portugal,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Meritan Shabani,Wolverhampton-Wanderers,Midfielder,Germany,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Neto,Wolverhampton-Wanderers,Forward,Portugal,20.0,3.0,6.0,0.0,11.0,7.0,9.0,3.0,0.0,0.0,4.0,399.0,5.0,0.0,0.0,0.0
Raúl Jiménez,Wolverhampton-Wanderers,Forward,Mexico,29.0,32.0,82.0,0.0,51.0,53.0,43.0,75.0,0.0,0.0,13.0,2108.0,26.0,0.0,0.0,0.0
Adama Traoré,Wolverhampton-Wanderers,Forward,Spain,24.0,5.0,21.0,0.0,86.0,26.0,27.0,26.0,0.0,0.0,12.0,1434.0,13.0,0.0,0.0,0.0
Fábio Silva,Wolverhampton-Wanderers,Forward,Portugal,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Leonardo Campana,Wolverhampton-Wanderers,Forward,Ecuador,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
